
0,500,255,50.00
0,500,255,50.00
0,500,255,50.00
0,500,255,50.00
0,500,255,50.00
1,500,255,50.00
1,500,255,50.00
1,500,255,50.00
2,500,255,50.00
2,500,255,50.00
3,500,255,50.00
4,500,255,50.00
4,500,255,50.00
5,500,255,50.00
6,500,255,50.00
6,500,255,50.00
7,500,255,50.00
8,500,255,50.00
9,500,255,50.00
10,500,255,50.00
11,500,255,50.00
12,500,255,50.00
13,500,255,50.00
14,500,255,50.00
15,500,255,50.00
16,500,255,50.00
17,500,255,50.00
18,500,255,50.00
20,500,255,50.00
21,500,255,50.00
22,500,255,50.00
24,500,255,50.00
25,500,255,50.00
26,474,255,50.00
28,474,255,50.00
29,474,255,50.00
31,474,255,50.00
32,474,255,50.00
34,474,255,50.00
36,474,255,50.00
37,474,255,50.00
39,474,255,50.00
40,474,255,50.00
42,474,255,50.00
43,474,255,50.00
45,474,255,50.00
47,474,255,50.00
49,474,255,50.00
50,474,255,50.00
52,474,255,50.00
54,474,255,50.00
56,474,255,50.00
57,474,255,50.00
59,474,255,50.00
61,474,255,50.00
63,474,255,50.00
65,474,255,50.00
67,474,255,50.00
69,474,255,50.00
71,474,255,50.00
73,474,255,50.00
75,474,255,50.00
77,474,255,50.00
78,474,255,50.00
80,474,255,50.00
82,474,255,50.00
84,417,255,50.00
87,417,255,50.00
89,417,255,50.00
91,417,255,50.00
92,417,255,50.00
95,417,255,50.00
97,417,255,50.00
99,417,255,50.00
101,417,255,50.00
103,417,255,50.00
105,417,255,50.00
108,417,255,50.00
110,417,255,50.00
112,417,255,50.00
114,417,255,50.00
117,417,255,50.00
119,417,255,50.00
121,417,255,50.00
123,417,255,50.00
126,417,255,50.00
128,417,255,50.00
130,417,255,50.00
133,417,255,50.00
135,417,255,50.00
137,417,255,50.00
140,417,255,50.00
142,417,255,50.00
144,417,255,50.00
147,417,255,50.00
149,417,255,50.00
152,417,255,50.00
154,346,255,50.00
156,346,255,50.00
159,346,255,50.00
161,346,255,50.00
164,346,255,50.00
166,346,255,50.00
168,346,255,50.00
171,346,255,50.00
173,346,255,50.00
176,346,255,50.00
178,346,255,50.00
181,346,255,50.00
183,346,255,50.00
186,346,255,50.00
188,346,255,50.00
191,346,255,50.00
193,346,255,50.00
196,346,255,50.00
198,346,255,50.00
201,346,255,50.00
203,346,255,50.00
206,346,255,50.00
208,346,255,50.00
211,346,255,50.00
213,346,255,50.00
216,346,255,50.00
219,346,255,50.00
221,346,255,50.00
223,346,255,50.00
226,346,255,50.00
229,346,255,50.00
231,269,255,50.00
