0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	0
11	5
12	0
13	0
14	43
15	55
16	63
17	71
18	77
19	84
20	92
21	99
22	106
23	112
24	119
25	126
26	133
27	139
28	147
29	154
30	161
31	167
32	174
33	182
34	189
35	195
36	202
37	209
38	216
39	223
40	230
41	237
42	245
43	251
44	258
45	265
46	273
47	278
48	288
49	293
50	300
51	307
52	314
53	319
54	328
55	336
56	343
57	350
58	356
59	364
60	372
61	375
62	385
63	393
64	399
65	405
66	413
67	422
68	427
69	434
70	441
71	451
72	455
73	460
74	468
75	476
76	482
77	490
78	496
79	504
80	511
81	518
82	530
83	532
84	531
85	531
86	551
87	560
88	566
89	577
90	580
91	587
92	595
93	603
94	609
95	617
96	624
97	636
98	638
99	643
100	652
101	660
102	667
103	674
104	680
105	689
