0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,-1
10,0
11,0
12,-4
13,0
14,-15
15,-39
16,-48
17,-56
18,-65
19,-73
20,-79
21,-88
22,-95
23,-102
24,-110
25,-116
26,-125
27,-130
28,-139
29,-145
30,-153
31,-160
32,-168
33,-174
34,-182
35,-187
36,-195
37,-202
38,-210
39,-216
40,-223
41,-230
42,-236
43,-244
44,-251
45,-257
46,-265
47,-272
48,-278
49,-286
50,-290
51,-300
52,-304
53,-313
54,-318
55,-326
56,-334
57,-341
58,-347
59,-354
60,-362
61,-370
62,-376
63,-388
64,-395
65,-398
66,-409
67,-416
68,-424
69,-429
70,-437
71,-444
72,-454
73,-455
74,-456
75,-470
76,-478
77,-487
78,-490
79,-499
80,-507
81,-514
82,-528
83,-531
84,-531
85,-531
86,-532
87,-553
88,-563
89,-571
90,-579
91,-579
92,-592
93,-600
94,-606
95,-614
96,-620
97,-628
98,-637
99,-638
100,-637
