0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, 0
0.00, 0.00, 0.00, 0.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
0.00, -30.00, 0.00, -30.00, -133
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -47.00, -166
-13.00, -17.00, -13.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -163
-33.00, 3.00, -20.00, -44.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -127
-44.00, 14.00, -11.00, -30.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -14.00, -93
-46.00, 16.00, -2.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
-41.00, 11.00, 5.00, -3.00, -46
